url,title,price,location,location_tag,google_maps_url,br_ba,ft,available_till,cover_img,posting_id,posting_date,is_available_now,has_cats_ok,has_dogs_ok,has_wd_in_unit,is_furnished,has_attached_garage,no_smoking,is_wheelchair_accessible,has_air_conditioning,has_ev_charging
https://losangeles.craigslist.org/sfv/apa/d/canoga-park-bd-ba-cable-satellite-ready/7748852740.html,"2/BD 2/BA, Cable/Satellite Ready, Controlled Access Entries","$2,667",,"<span> (21535 Roscoe Boulevard, Los Angeles, CA)</span>",,2BR / 2Ba,1045ft,,https://images.craigslist.org/00000_9YgBwFsx69g_08I06i_600x450.jpg,7748852740,2024-05-20T11:02:58-0700,True,True,True,True,False,True,True,True,True,False
https://losangeles.craigslist.org/wst/apa/d/los-angeles-single-story-duplex-front/7751288581.html,single-story duplex front home with 2 bedrooms and 1 bathroom.,"$1,000",,"<span> (230 E Avenue 42, Los Angeles, CA)</span>",,2BR / 1Ba,,,https://images.craigslist.org/00808_bih3YhHJ1hg_0ak07m_600x450.jpg,7751288581,2024-05-27T23:28:50-0700,True,True,True,True,False,True,False,False,True,False
https://losangeles.craigslist.org/lac/apa/d/los-angeles-brand-new-studios-blocks/7744765864.html,Brand New Studios - Blocks from USC Campus and Village,"$1,945","2711 Ellendale Pl, Los Angeles, CA 90007","<span> (2711 Ellendale Pl, Los Angeles, CA)</span>","https://www.google.com/maps/search/34.030234,-118.289189",0BR / 1Ba,330ft,,https://images.craigslist.org/00t0t_k67zt7dEyvf_0jm0aT_600x450.jpg,7744765864,2024-05-07T19:15:15-0700,False,True,True,False,False,False,False,False,False,False
https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-apartment-available/7751288677.html,Studio Apartment Available,"$1,595","1210 N Berendo St, Los Angeles, CA 90029",<span> (East Hollywood)</span>,"https://www.google.com/maps/search/34.093713,-118.294719",0BR / 1Ba,450ft,,https://images.craigslist.org/00X0X_b0NvBfxnfWw_0CI0t2_600x450.jpg,7751288677,2024-05-27T23:30:16-0700,False,True,True,False,False,False,False,False,False,False
https://losangeles.craigslist.org/wst/apa/d/los-angeles-special/7751308914.html,*** Special Requirements***Gorgeous 2 bed living home ***,$880,,<span> (Los angeles)</span>,,2BR / 1Ba,,,https://images.craigslist.org/00L0L_4tVEkZ5CsdD_09G06q_600x450.jpg,7751308914,2024-05-28T04:35:53-0700,False,True,True,True,True,False,False,False,True,False
https://losangeles.craigslist.org/sfv/apa/d/valencia-bbq-picnic-area-pool-bike-rack/7744688815.html,"BBQ/Picnic Area, Pool, Bike Rack","$2,500","6425 Reseda Blvd, Reseda, CA 91335","<span> (6425 Reseda Blvd, Reseda, CA)</span>","https://www.google.com/maps/search/34.200700,-118.539100",1BR / 1Ba,750ft,,https://images.craigslist.org/00404_cNY5UM1hPFy_0q80hq_600x450.jpg,7744688815,2024-05-07T14:15:52-0700,True,True,True,False,False,False,True,True,False,False
https://losangeles.craigslist.org/lac/apa/d/los-angeles-great-studio-available/7751288591.html,Great Studio Available,"$1,595","1210 Berendo St, Los Angeles, CA 90029",<span> (Los Angeles)</span>,"https://www.google.com/maps/search/34.093713,-118.294719",0BR / 1Ba,400ft,,https://images.craigslist.org/00i0i_9VtWJGnkDLB_0CI0t2_600x450.jpg,7751288591,2024-05-27T23:28:57-0700,False,True,True,False,False,False,False,True,False,False
https://losangeles.craigslist.org/sfv/apa/d/woodland-hills-bedroom-ready-for/7745302690.html,"1 Bedroom - Ready for immediate move-in for only $2,085!!","$2,085","22122 Victory Boulevard, Los Angeles, CA 91367",<span> (Eaves Woodland Hills)</span>,"https://www.google.com/maps/search/34.176700,-118.615900",1BR / 1Ba,664ft,,https://images.craigslist.org/00M0M_j5HoWG60ouj_0CI0hA_600x450.jpg,7745302690,2024-05-09T11:28:53-0700,True,False,False,False,False,False,False,False,False,False
https://losangeles.craigslist.org/lac/apa/d/arcadia-live-in-your-dream-home-bd-ba/7751288747.html,"Live in your dream home! 2 Bd/1 ba, 925 SqFt","$2,900","865 West Huntington Drive #4, Arcadia, CA 91007",<span> (Arcadia)</span>,"https://www.google.com/maps/search/34.131432,-118.059236",2BR / 1Ba,925ft,,https://images.craigslist.org/01111_gQGE8Yd5iu7_0jm0ew_600x450.jpg,7751288747,2024-05-27T23:31:28-0700,False,True,True,False,False,False,True,True,True,False
https://losangeles.craigslist.org/lac/apa/d/los-angeles-beautiful-bedroom-available/7751287283.html,Beautiful 1 Bedroom Available,"$2,195","1535 N Kenmore Ave, Los Angeles, CA 90027",<span> (Thai Town/Little Armenia/Hollywood)</span>,"https://www.google.com/maps/search/34.098727,-118.297409",1BR / 1Ba,650ft,,,7751287283,2024-05-27T23:09:25-0700,False,True,True,True,False,True,False,False,False,False
https://losangeles.craigslist.org/lac/apa/d/arcadia-ready-to-lease-beautifully/7751288756.html,Ready to lease! Beautifully designed 2 bed 1 bath apartment,"$2,900","865 West Huntington Drive #4, Arcadia, CA 91007",<span> (Arcadia)</span>,"https://www.google.com/maps/search/34.131432,-118.059236",2BR / 1Ba,925ft,,https://images.craigslist.org/00B0B_iG72secIlGH_0uY0ne_600x450.jpg,7751288756,2024-05-27T23:31:35-0700,True,True,True,False,False,False,True,True,True,False
https://losangeles.craigslist.org/lac/apa/d/arcadia-simply-beautiful-bed-bath-in/7751288760.html,Simply beautiful 2 bed / 1 bath in prime Arcadia neighborhood,"$2,900","865 West Huntington Drive #4, Arcadia, CA 91007",<span> (Arcadia)</span>,"https://www.google.com/maps/search/34.131432,-118.059236",2BR / 1Ba,925ft,,https://images.craigslist.org/00B0B_iG72secIlGH_0uY0ne_600x450.jpg,7751288760,2024-05-27T23:31:41-0700,True,True,True,False,False,False,True,True,True,False
https://losangeles.craigslist.org/sfv/apa/d/chatsworth-move-in-today-2x2-garden/7742446380.html,"Move in Today  2x2! Garden Style Community, BBQ & Picnic Area!","$2,475","10025 De Soto Ave, Chatsworth, CA 91311",<span> (Chatsworth)</span>,"https://www.google.com/maps/search/34.252848,-118.588962",2BR / 2Ba,850ft,,https://images.craigslist.org/00I0I_k8EmGMm2HsO_07K05O_600x450.jpg,7742446380,2024-04-30T15:16:01-0700,True,True,True,False,False,False,True,False,True,False
https://losangeles.craigslist.org/lac/apa/d/arcadia-garden-style-925-sqft-br-ba-in/7751288765.html,Garden-style 925 SqFt 2 BR / 1 BA in Arcadia. Visit us today!,"$2,900","865 West Huntington Drive #4, Arcadia, CA 91007",<span> (Arcadia)</span>,"https://www.google.com/maps/search/34.131432,-118.059236",2BR / 1Ba,925ft,,https://images.craigslist.org/00B0B_iG72secIlGH_0uY0ne_600x450.jpg,7751288765,2024-05-27T23:31:47-0700,True,True,True,False,False,False,True,True,True,False
https://losangeles.craigslist.org/sgv/apa/d/claremont-in-single-house-bedroom-for/7742183338.html,IN SINGLE HOUSE 1 bedroom for rent $800/mo No parking,$800,,<span> (Claremont)</span>,"https://www.google.com/maps/search/34.123216,-117.712069",1BR / 1Ba,,,https://images.craigslist.org/00R0R_fbSarASdiEf_1320MM_600x450.jpg,7742183338,2024-04-29T20:00:21-0700,True,False,False,False,False,False,False,False,True,False
https://losangeles.craigslist.org/wst/apa/d/culver-city-dishwasher-24-hour-fitness/7748049618.html,"Dishwasher, 24 Hour Fitness Center, 3 Pools, Tennis Courts","$3,002",,<span> (Culver City)</span>,,2BR / 2Ba,1170ft,,https://images.craigslist.org/00606_aBkMmPUEeDl_0wg0g8_600x450.jpg,7748049618,2024-05-17T17:17:49-0700,True,True,True,False,False,False,False,False,False,False
https://losangeles.craigslist.org/lgb/apa/d/norwalk-bd-ba-spanish-speaking-staff/7749977754.html,"1/BD 1/BA, Spanish Speaking Staff, Gas Stove","$2,030","13811 Shoemaker Ave, Norwalk, CA 90650","<span> (13811 Shoemaker Ave, Norwalk, CA)</span>","https://www.google.com/maps/search/33.905589,-118.055612",1BR / 1Ba,700ft,,https://images.craigslist.org/00g0g_86JtdOgJWZS_0jm0cV_600x450.jpg,7749977754,2024-05-23T15:07:29-0700,False,True,True,False,False,False,True,False,True,False
https://losangeles.craigslist.org/sfv/apa/d/northridge-carpeting-on-site/7748031721.html,"Carpeting, On-Site Maintenance, Handrails","$1,699","18520 Vincennes St, Northridge, CA 91324","<span> (18520 Vincennes St, Northridge, CA)</span>","https://www.google.com/maps/search/34.240562,-118.537220",0BR / 1Ba,476ft,,https://images.craigslist.org/00101_itXSMOAgqih_0au07F_600x450.jpg,7748031721,2024-05-17T16:14:01-0700,False,True,True,False,False,False,False,False,False,False
https://losangeles.craigslist.org/wst/apa/d/los-angeles-summer-sublet-august-21/7746112956.html,Summer sublet (3 August - 21 September) minutes from UCLA campus,"$3,000",,<span> (Westwood Village)</span>,,1BR / 1Ba,,,https://images.craigslist.org/01212_eL1OoPIEDA7_0ak07K_600x450.jpg,7746112956,2024-05-11T21:02:03-0700,False,False,False,False,True,True,True,False,True,False
https://losangeles.craigslist.org/lac/apa/d/los-angeles-beautiful-bedroom-apartment/7751288403.html,Beautiful 1 Bedroom Apartment,"$2,550","1539 Woodruff, Westwood, CA 90049","<span> (Westwood, Los Angeles)</span>",,1BR / 1Ba,750ft,,https://images.craigslist.org/00g0g_fSRKrUXld0E_0t20CI_600x450.jpg,7751288403,2024-05-27T23:26:03-0700,False,True,True,False,False,True,False,False,True,False
https://losangeles.craigslist.org/sgv/apa/d/azusa-casa-de-renta/7751288471.html,Casa de renta,"$1,800",,<span> (Azusa)</span>,,2BR / 1Ba,available jun 4,,,7751288471,2024-05-27T23:27:10-0700,False,False,False,False,False,False,False,False,False,False
https://losangeles.craigslist.org/sfv/apa/d/northridge-los-angeles-ca-gas-bbqs-and/7743467177.html,"Los Angeles CA, Gas BBQs and Picnic Area, 1 BD","$2,095","9500 Zelzah Avenue, Los Angeles, CA 91325",<span> (San Fernando Valley)</span>,"https://www.google.com/maps/search/34.235300,-118.518800",1BR / 1Ba,536ft,,https://images.craigslist.org/01111_h1LYceCH0Tk_0c2082_600x450.jpg,7743467177,2024-05-03T16:17:06-0700,True,True,True,False,True,False,False,True,True,False
https://losangeles.craigslist.org/wst/apa/d/hermosa-beach-bedroom-condo-in-hermosa/7749357148.html,2 Bedroom condo in Hermosa Beach,"$3,350",,<span> (Hermosa Beach)</span>,,2BR / 2Ba,990ft,,https://images.craigslist.org/01616_sKwlL0v2RZ_0CI0t2_600x450.jpg,7749357148,2024-05-21T19:08:54-0700,True,True,True,False,False,True,True,False,False,False
